Promise_ID,Category,Promise_Title,Description,Target_Beneficiaries,Implementation_Status,Policy_Instrument_or_Budget,Effective_Date_or_Timeline,Notes
YTH-05,Youth & Education,Perunthalaivar Kamarajar Breakfast Scheme,Expansion of school breakfast scheme to Classes 6-8,Middle School Students (Classes 6-8),Budget Allocated,Rs 710.00 Crore (August 2026 Budget),August 2026,Extends primary school scheme into middle schools
YTH-06,Youth & Education,Kamarajar Special Residential Schools,100 modern residential schools in rural blocks,Rural Gifted Students,Pending,Under Review,Pending,Infrastructure development
YTH-07,Youth & Education,Govt School Student Reservation,10% horizontal higher education quota for govt school students,Govt School Students,Pending,Under Review,Pending,Admission quota policy
YTH-08,Youth & Education,Recruitment Accountability Act,Legislation capping government job recruitment process to 365 days,Job Applicants,In Progress,Legislative Drafting,In Progress,Statutory hiring timelines
AGR-01,Agrarian Sector,Cooperative Crop Loan Waiver,Full waiver for <5 acres; 50% waiver for >5 acres,Farmers / Smallholders,Partially Implemented,Executive Notification,Post-May 2026,Phased capped waiver prioritizing landholders <5 acres
AGR-02,Agrarian Sector,Statutory Minimum Support Price,Legally enforceable MSP of Rs 3500/qtl Paddy and Rs 4500/tonne Sugarcane,Paddy & Sugarcane Farmers,Pending,Under Review,Pending,Statutory pricing mandate
AGR-03,Agrarian Sector,Landless Agricultural Worker Aid,Rs 10000 annual direct cash transfer,Landless Agricultural Laborers,Pending,Under Review,Pending,Direct income support
AGR-04,Agrarian Sector,Cultivator Rights Card,Statutory card providing tenant farmers credit subsidies & disaster aid,Tenant Farmers / Sharecroppers,Pending,Under Review,Pending,Institutional credit access
AGR-05,Agrarian Sector,PMFBY Crop Insurance Expansion,100% state-funded crop insurance premiums for essential food crops,Food Crop Farmers,Implemented,Rs 648.55 Crore (August 2026 Budget),August 2026,Active covering 15 lakh farmers across 36 lakh acres
AGR-06,Agrarian Sector,TN Soil Conservation Mission,Soil health & agricultural self-reliance program,Agricultural Sector,Implemented,Rs 203.64 Crore (August 2026 Budget),August 6 2026,Aims to reduce out-of-state food dependency
AGR-07,Agrarian Sector,Kuruvai Special Package,Seasonal cultivation support during delayed Mettur water release,Paddy Cultivators,Implemented,Rs 134.83 Crore (August 2026 Budget),August 6 2026,Supports 8.26 lakh acres during water delays
AGR-08,Agrarian Sector,TN Millet Mission,Diversification and productivity enhancement for dryland crops,Dryland Farmers,Implemented,Rs 63.81 Crore (August 2026 Budget),August 6 2026,Targets higher millet productivity statewide
GOV-01,Governance & Autonomy,Parandur Greenfield Airport Scrapping,Cancellation of proposed airport project in Kancheepuram,Farmers & Local Residents,Implemented,Cabinet Statement in Assembly,Post-May 2026,Dropped due to land acquisition and eco concerns
GOV-02,Governance & Autonomy,Madurai Secretariat Branch,Executive Secretariat branch in Madurai to decentralize administration,Southern TN Population,Pending,Spatial Feasibility Review,Pending,Administrative decentralization
GOV-03,Governance & Autonomy,Ministry of Artificial Intelligence & AI Mission,Creation of AI Ministry & AI Economy Mission for skill development,Students & Professionals,In Progress,Institutional Earmarks (August 2026 Budget),August 2026,Funding distributed across 5 research hubs
GOV-04,Governance & Autonomy,Anti-Narcotic Task Force Stations,Authorization of 65 dedicated Anti-Narcotic Task Force Stations,Public Safety,Implemented,Executive GO Issued,Post-May 2026,Statewide deployment authorized
GOV-05,Governance & Autonomy,Statewide Demographic Caste Survey,Comprehensive state-led caste survey for calibrated reservation,All Demographic Groups,Pending,Under Review,Pending,Social justice calibration
GOV-06,Governance & Autonomy,Code of Conduct & Right to Service Act,Mandatory Code of Conduct for Ministers/MLAs & Right to Service Act,Citizens & State Servants,In Progress,Legislative Drafting,Post-May 2026,Administrative ethics mandate
GOV-07,Governance & Autonomy,Zero Political Interference Mandate,Eradication of political influence in public/private administration & caste neutrality,State Administration,Non-Measurable (Directive Standard),Official Action Plan Directive,Ongoing,Core administrative principle
GOV-08,Governance & Autonomy,Tamil Language Rights Protection,Advocacy and policy protection for Tamil language in education & courts,General Population,Non-Measurable (Directive Standard),Policy Declaration,Ongoing,Identity and linguistic directive
GOV-09,Governance & Autonomy,Rationalism & Untouchability Eradication,Active promotion of scientific temper and absolute zero tolerance for untouchability,State Demographics,Non-Measurable (Directive Standard),Ideological Mandate,Ongoing,Social justice guiding ethic
GOV-10,Governance & Autonomy,Bribe-Free Citizen Privilege Card,Universal Citizen Privilege Card ensuring dignified corruption-free service delivery,State Citizens,Non-Measurable (Directive Standard),Privilege Card Framework,Pending,Administrative dignity directive
GOV-11,Governance & Autonomy,Sustainable Ecological Protection,Long-term protection of water bodies eco-zones and sustainable urban planning,General Population,Non-Measurable (Directive Standard),Environmental Policy Directive,Ongoing,Ecological protection stance
GOV-12,Governance & Autonomy,Opposition to Delimitation & Abolition of Governor Post,Opposition to post-1971 population delimitation & urging abolition of Governor post,State Autonomy / Federalism,Non-Measurable (Directive Standard),Assembly & General Council Resolutions,Post-May 2026,Federal rights resolution stance
EMP-01,Police & Employment,Police Welfare Act,Weekly off Rs 25k min pay Rs 1k hardship allowance Police Hospitals,Police Personnel,Pending,Under Review,Pending,Police reform package
EMP-02,Police & Employment,Old Pension Scheme (OPS) Reinstatement,Replacing National Pension System (NPS) with traditional OPS,Civil Servants & Govt Staff,Pending,Under Review,Pending,Pension reform
EMP-03,Police & Employment,Regularization of Contractual Employees,Permanent status for temporary teachers nurses and staff (5+ yrs service),Contractual State Employees,Pending,Under Review,Pending,Employment regularization
EMP-04,Police & Employment,Anganwadi Worker Salary Hike,Raising minimum monthly remuneration for Anganwadi workers to Rs 18000,Anganwadi Care Workers,Pending,Under Review,Pending,Stipend enhancement
EMP-05,Police & Employment,Weaver Welfare Package,Rs 30000 annual grant plus free electricity (500 units handloom / 1500 powerloom),Handloom & Powerloom Weavers,Pending,Under Review,Pending,Sectoral support package
ENG-01,Healthcare & Infrastructure,200 Units Free Electricity Scheme,Provision of 200 units of free power per billing cycle,Domestic Power Consumers,Partially Implemented,GO issued May 10 2026,May 10 2026,Units 1-100 free; 101-200 subsidized for consumption <500 units bimonthly
HLT-01,Healthcare & Infrastructure,Universal Health Coverage Expansion,Rs 25 Lakh health insurance/family/yr + 5 regional multispecialty hospitals,State Population,Pending,Under Review,Pending,Universal health safety net expansion
HOU-01,Healthcare & Infrastructure,Vetri Veedu Thittam (Housing Upgrades),Upgrading 70000 temporary housing structures with up to Rs 5 Lakh/unit,Low-Income Families,Budget Allocated,State Budget Allocation,August 2026,Upgrades temporary housing structures
MSME-01,Healthcare & Infrastructure,MSME Credit Guarantee Fund,Rs 15000 Crore state credit guarantee fund to support small business growth,MSMEs & Entrepreneurs,Pending,Under Review,Pending,Credit availability for small businesses
